B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,GEOID,NAME
Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",id,id2,Geographic Area Name
6462,541,2610,322,692,173,873,279,31,46,725,178,99,145,7,12,183,121,0,95,183,121,3852,476,1496,474,31,48,18,24,9,15,0,95,2149,617,149,120,48,53,101,99,1400000US06001436601,06001436601,"Census Tract 4366.01, Alameda County, California"
4941,403,2446,457,480,273,783,245,0,95,979,320,8,17,25,38,171,127,0,95,171,127,2495,620,709,390,41,57,0,95,12,19,0,95,1399,591,334,273,276,261,58,56,1400000US06001436602,06001436602,"Census Tract 4366.02, Alameda County, California"
3459,418,1189,393,667,266,141,105,0,95,381,313,0,95,0,95,0,95,0,95,0,95,2270,605,949,455,0,95,48,73,0,95,0,95,1273,553,0,95,0,95,0,95,1400000US06001436700,06001436700,"Census Tract 4367, Alameda County, California"
4035,373,2531,369,862,347,429,172,11,17,936,250,144,209,13,20,136,71,20,32,116,65,1504,356,915,348,0,95,51,50,0,95,0,95,400,243,138,125,101,126,37,41,1400000US06001436800,06001436800,"Census Tract 4368, Alameda County, California"
6403,533,2910,386,1067,238,615,331,0,95,835,302,145,159,22,37,226,151,68,108,158,113,3493,562,1349,410,18,25,12,18,0,95,9,15,1700,593,405,241,107,93,298,199,1400000US06001436900,06001436900,"Census Tract 4369, Alameda County, California"
2774,251,1939,332,536,164,287,178,0,95,931,243,114,130,0,95,71,82,0,95,71,82,835,225,381,224,0,95,16,27,0,95,0,95,314,153,124,89,124,89,0,95,1400000US06001437000,06001437000,"Census Tract 4370, Alameda County, California"
5893,505,4585,498,770,343,378,164,0,95,3331,379,72,95,23,35,11,17,0,95,11,17,1308,382,727,315,77,90,0,95,27,42,0,95,437,307,40,68,0,95,40,68,1400000US06001437101,06001437101,"Census Tract 4371.01, Alameda County, California"
4971,456,3309,362,396,156,698,415,14,22,1977,298,0,95,63,99,161,181,0,95,161,181,1662,309,516,362,13,22,0,95,0,95,0,95,1004,412,129,98,40,52,89,88,1400000US06001437102,06001437102,"Census Tract 4371.02, Alameda County, California"
6360,510,4327,513,1240,220,631,215,24,37,2086,434,13,21,43,66,290,143,0,95,290,143,2033,506,753,371,29,39,0,95,50,79,0,95,1096,483,105,100,78,83,27,43,1400000US06001437200,06001437200,"Census Tract 4372, Alameda County, California"
3098,330,2061,305,468,163,312,223,6,12,853,204,264,205,16,26,142,121,0,95,142,121,1037,250,748,331,0,95,0,95,0,95,0,95,276,151,13,21,13,21,0,95,1400000US06001437300,06001437300,"Census Tract 4373, Alameda County, California"
3446,393,1425,285,900,259,66,62,33,43,236,183,45,54,0,95,145,140,0,95,145,140,2021,353,1101,344,0,95,44,51,19,33,0,95,737,382,120,80,46,59,74,59,1400000US06001437400,06001437400,"Census Tract 4374, Alameda County, California"
4235,619,2113,451,400,135,424,292,42,48,805,328,159,176,36,58,247,175,0,95,247,175,2122,562,946,425,30,49,0,95,9,14,0,95,1096,456,41,51,9,14,32,49,1400000US06001437500,06001437500,"Census Tract 4375, Alameda County, California"
3663,386,1867,228,788,301,345,182,6,9,656,204,0,95,0,95,72,66,33,52,39,35,1796,389,866,320,18,28,0,95,0,95,0,95,697,264,215,148,51,74,164,119,1400000US06001437600,06001437600,"Census Tract 4376, Alameda County, California"
3748,444,1614,308,393,158,404,208,73,71,356,204,237,180,0,95,151,92,0,95,151,92,2134,461,526,250,34,45,12,22,0,95,0,95,1469,447,93,100,28,36,65,94,1400000US06001437701,06001437701,"Census Tract 4377.01, Alameda County, California"
4635,600,1479,412,239,133,248,219,28,33,407,258,221,184,0,95,336,197,24,38,312,197,3156,559,1979,657,0,95,128,144,38,67,0,95,930,448,81,83,9,13,72,82,1400000US06001437702,06001437702,"Census Tract 4377.02, Alameda County, California"
4324,434,2515,324,810,219,365,162,0,95,900,231,110,113,14,22,316,256,0,95,316,256,1809,372,428,263,0,95,56,84,31,37,0,95,1284,381,10,16,0,95,10,16,1400000US06001437800,06001437800,"Census Tract 4378, Alameda County, California"
2428,365,1022,185,170,91,453,195,0,95,207,136,192,146,0,95,0,95,0,95,0,95,1406,349,802,311,0,95,0,95,5,11,0,95,549,268,50,36,26,29,24,25,1400000US06001437900,06001437900,"Census Tract 4379, Alameda County, California"
2707,247,1661,217,1000,208,98,121,32,41,457,212,1,3,0,95,73,57,0,95,73,57,1046,177,435,186,0,95,0,95,0,95,0,95,476,203,135,146,99,142,36,64,1400000US06001438000,06001438000,"Census Tract 4380, Alameda County, California"
7667,527,4656,528,1613,331,866,205,0,95,1393,322,450,369,91,140,243,201,10,19,233,200,3011,559,1172,476,28,47,0,95,0,95,0,95,1530,608,281,205,195,163,86,109,1400000US06001438100,06001438100,"Census Tract 4381, Alameda County, California"
4433,406,2751,460,715,210,371,233,0,95,992,457,330,207,12,19,331,203,35,48,296,199,1682,459,978,493,32,37,0,95,0,95,8,19,565,291,99,100,9,14,90,99,1400000US06001438201,06001438201,"Census Tract 4382.01, Alameda County, California"
4296,398,3114,366,697,239,188,103,0,95,2043,393,56,83,0,95,130,130,0,95,130,130,1182,292,156,129,0,95,73,151,0,95,0,95,762,326,191,178,173,174,18,30,1400000US06001438203,06001438203,"Census Tract 4382.03, Alameda County, California"
5819,630,4409,729,1674,447,141,109,0,95,2369,588,140,184,41,54,44,58,0,95,44,58,1410,512,839,421,0,95,9,15,0,95,0,95,552,370,10,48,10,48,0,95,1400000US06001438204,06001438204,"Census Tract 4382.04, Alameda County, California"
3867,524,2531,655,344,190,307,194,11,17,1286,643,413,289,6,11,164,127,44,70,120,93,1336,560,796,470,7,12,0,95,0,95,0,95,456,333,77,75,21,32,56,70,1400000US06001438300,06001438300,"Census Tract 4383, Alameda County, California"
2196,249,1505,212,522,110,125,165,13,20,687,156,53,82,0,95,105,123,0,95,105,123,691,231,300,188,0,95,0,95,11,17,0,95,380,216,0,95,0,95,0,95,1400000US06001438400,06001438400,"Census Tract 4384, Alameda County, California"
2313,320,1877,298,574,162,334,181,0,95,960,335,0,95,0,95,9,15,0,95,9,15,436,124,80,65,8,12,9,14,0,95,0,95,259,106,80,85,46,65,34,45,1400000US06001440100,06001440100,"Census Tract 4401, Alameda County, California"
5547,547,1472,252,439,219,201,154,0,95,773,214,25,30,0,95,34,47,0,95,34,47,4075,552,1164,427,0,95,0,95,0,95,0,95,2814,641,97,110,66,66,31,50,1400000US06001440200,06001440200,"Census Tract 4402, Alameda County, California"
6912,773,5133,658,1555,257,677,568,0,95,2596,441,36,56,0,95,269,192,0,95,269,192,1779,552,925,526,25,43,0,95,0,95,0,95,585,291,244,175,84,104,160,144,1400000US06001440301,06001440301,"Census Tract 4403.01, Alameda County, California"
4655,461,4158,424,648,323,324,121,4,7,3070,415,0,95,0,95,112,99,0,95,112,99,497,235,74,64,0,95,0,95,40,47,13,20,341,210,29,29,16,18,13,16,1400000US06001440304,06001440304,"Census Tract 4403.04, Alameda County, California"
4027,329,3509,358,547,166,435,101,35,38,2055,419,220,301,133,202,84,41,0,95,84,41,518,200,152,164,0,95,0,95,12,21,0,95,296,190,58,63,58,63,0,95,1400000US06001440305,06001440305,"Census Tract 4403.05, Alameda County, California"
3864,274,3254,351,373,194,76,137,33,55,2542,274,7,13,0,95,223,162,0,95,223,162,610,260,52,40,0,95,0,95,27,35,5,8,526,251,0,95,0,95,0,95,1400000US06001440306,06001440306,"Census Tract 4403.06, Alameda County, California"
4106,388,3487,349,952,262,158,109,20,24,2140,349,15,22,106,111,96,76,9,16,87,75,619,248,349,157,0,95,0,95,26,29,0,95,191,173,53,94,53,94,0,95,1400000US06001440307,06001440307,"Census Tract 4403.07, Alameda County, California"
5951,457,3989,484,698,208,290,151,21,31,2709,527,0,95,82,82,189,148,15,24,174,148,1962,390,870,406,0,95,0,95,0,95,0,95,1002,298,90,97,70,89,20,30,1400000US06001440308,06001440308,"Census Tract 4403.08, Alameda County, California"
3170,355,2397,419,350,162,98,84,0,95,1900,401,0,95,0,95,49,37,14,21,35,30,773,239,117,85,0,95,0,95,6,9,0,95,608,263,42,48,42,48,0,95,1400000US06001440331,06001440331,"Census Tract 4403.31, Alameda County, California"
3333,317,3060,315,170,77,69,76,0,95,2434,316,225,271,0,95,162,109,26,27,136,93,273,134,116,82,0,95,0,95,47,72,0,95,110,108,0,95,0,95,0,95,1400000US06001440332,06001440332,"Census Tract 4403.32, Alameda County, California"
2681,432,2586,427,370,163,418,321,0,95,1695,498,32,63,0,95,71,87,5,10,66,85,95,72,58,63,0,95,0,95,4,10,0,95,22,22,11,17,11,17,0,95,1400000US06001440333,06001440333,"Census Tract 4403.33, Alameda County, California"
4515,358,3676,339,444,133,209,117,0,95,2772,337,29,47,0,95,222,171,0,95,222,171,839,268,296,169,7,13,0,95,40,53,0,95,311,289,185,163,71,117,114,120,1400000US06001440334,06001440334,"Census Tract 4403.34, Alameda County, California"
5651,418,5367,411,840,328,11,19,0,95,3915,527,17,27,0,95,584,407,35,55,549,402,284,197,13,23,0,95,13,22,20,31,0,95,182,166,56,81,56,81,0,95,1400000US06001440335,06001440335,"Census Tract 4403.35, Alameda County, California"
4766,469,3688,354,659,224,453,98,0,95,2254,327,50,60,20,31,252,228,0,95,252,228,1078,528,609,463,18,31,0,95,0,95,0,95,139,113,312,252,281,250,31,52,1400000US06001440336,06001440336,"Census Tract 4403.36, Alameda County, California"
4301,354,3450,342,2030,309,41,39,16,17,1072,210,65,67,0,95,226,154,0,95,226,154,851,311,411,174,0,95,0,95,7,12,0,95,247,188,186,177,171,175,15,24,1400000US06001441100,06001441100,"Census Tract 4411, Alameda County, California"
7042,614,5742,670,2633,385,471,342,54,63,2297,518,0,95,0,95,287,187,0,95,287,187,1300,324,425,200,26,40,12,20,0,95,0,95,681,321,156,161,53,68,103,126,1400000US06001441200,06001441200,"Census Tract 4412, Alameda County, California"
3150,276,2638,323,814,194,259,229,31,38,1308,232,0,95,0,95,226,124,0,95,226,124,512,251,224,132,12,19,0,95,0,95,0,95,26,24,250,199,180,190,70,73,1400000US06001441301,06001441301,"Census Tract 4413.01, Alameda County, California"
5299,454,4436,506,2037,384,178,118,27,41,1967,332,10,19,16,25,201,155,0,95,201,155,863,318,205,99,0,95,0,95,22,24,0,95,513,327,123,72,80,67,43,50,1400000US06001441302,06001441302,"Census Tract 4413.02, Alameda County, California"
6390,659,5732,624,2018,309,145,146,0,95,3352,609,57,85,0,95,160,123,0,95,160,123,658,310,301,245,0,95,0,95,49,40,11,20,297,238,0,95,0,95,0,95,1400000US06001441401,06001441401,"Census Tract 4414.01, Alameda County, California"
5090,345,4330,336,1511,257,149,103,29,28,2517,302,0,95,0,95,124,102,0,95,124,102,760,211,309,195,20,30,68,79,0,95,0,95,318,215,45,50,16,25,29,45,1400000US06001441402,06001441402,"Census Tract 4414.02, Alameda County, California"
6558,467,6046,480,835,189,433,243,0,95,4555,506,27,43,22,35,174,112,0,95,174,112,512,249,192,146,0,95,0,95,14,22,0,95,239,173,67,72,41,64,26,30,1400000US06001441501,06001441501,"Census Tract 4415.01, Alameda County, California"
4694,330,4586,335,296,156,98,124,25,41,4074,399,58,81,31,49,4,10,0,95,4,10,108,91,10,15,0,95,5,10,0,95,0,95,50,65,43,54,4,11,39,56,1400000US06001441503,06001441503,"Census Tract 4415.03, Alameda County, California"
6083,319,5855,344,1404,315,3,9,0,95,4236,343,0,95,0,95,212,181,16,26,196,177,228,119,105,68,0,95,7,13,0,95,0,95,56,57,60,86,0,95,60,86,1400000US06001441521,06001441521,"Census Tract 4415.21, Alameda County, California"
5196,320,4598,309,1144,284,464,138,0,95,2774,341,77,96,0,95,139,70,0,95,139,70,598,220,300,216,0,95,27,43,0,95,0,95,259,136,12,19,8,14,4,9,1400000US06001441522,06001441522,"Census Tract 4415.22, Alameda County, California"
3803,249,3609,288,691,260,51,58,12,18,2666,324,0,95,0,95,189,151,0,95,189,151,194,185,18,28,0,95,0,95,0,95,0,95,161,186,15,24,15,24,0,95,1400000US06001441523,06001441523,"Census Tract 4415.23, Alameda County, California"
4066,303,4008,330,404,152,199,301,50,73,3219,383,136,204,0,95,0,95,0,95,0,95,58,89,0,95,0,95,0,95,40,60,0,95,18,28,0,95,0,95,0,95,1400000US06001441524,06001441524,"Census Tract 4415.24, Alameda County, California"
4859,323,3661,293,1797,339,78,70,4,9,1630,266,25,28,8,12,119,82,0,95,119,82,1198,270,349,142,0,95,13,23,7,12,0,95,564,228,265,147,126,109,139,113,1400000US06001441601,06001441601,"Census Tract 4416.01, Alameda County, California"
7182,578,5339,508,1968,408,422,205,3,6,2475,530,104,141,14,23,353,197,0,95,353,197,1843,445,389,266,18,31,0,95,82,100,0,95,1132,444,222,218,114,144,108,96,1400000US06001441602,06001441602,"Census Tract 4416.02, Alameda County, California"
6825,820,5468,765,2093,394,664,369,0,95,2279,503,177,171,0,95,255,201,0,95,255,201,1357,315,516,314,0,95,0,95,0,95,0,95,785,463,56,59,25,29,31,50,1400000US06001441700,06001441700,"Census Tract 4417, Alameda County, California"
7075,482,5851,383,2519,406,201,142,0,95,2655,452,21,33,109,170,346,219,26,41,320,213,1224,449,570,294,36,38,89,143,16,26,0,95,316,179,197,213,197,213,0,95,1400000US06001441800,06001441800,"Census Tract 4418, Alameda County, California"
3827,684,2585,435,1144,405,162,156,22,26,999,317,0,95,49,78,209,154,0,95,209,154,1242,618,416,207,8,12,0,95,0,95,0,95,771,569,47,62,33,58,14,23,1400000US06001441921,06001441921,"Census Tract 4419.21, Alameda County, California"
4696,634,4243,596,1025,282,221,163,14,26,2821,596,0,95,0,95,162,103,56,59,106,78,453,293,120,82,17,33,0,95,0,95,0,95,234,243,82,104,82,104,0,95,1400000US06001441923,06001441923,"Census Tract 4419.23, Alameda County, California"
6143,515,5147,399,1794,469,66,70,0,95,2963,550,0,95,43,66,281,184,53,89,228,160,996,396,417,313,0,95,0,95,32,50,0,95,297,199,250,227,140,139,110,164,1400000US06001441924,06001441924,"Census Tract 4419.24, Alameda County, California"
5805,484,4943,508,1623,293,190,148,0,95,2919,416,0,95,0,95,211,110,32,43,179,116,862,278,192,165,14,22,0,95,50,59,0,95,517,252,89,72,63,67,26,31,1400000US06001441925,06001441925,"Census Tract 4419.25, Alameda County, California"
3514,483,2512,359,1036,272,238,149,0,95,955,275,214,252,0,95,69,74,35,56,34,49,1002,315,309,223,0,95,0,95,0,95,0,95,693,347,0,95,0,95,0,95,1400000US06001441926,06001441926,"Census Tract 4419.26, Alameda County, California"
3580,413,3302,439,756,156,211,216,0,95,2230,407,44,67,0,95,61,54,0,95,61,54,278,207,76,69,0,95,0,95,0,95,0,95,202,217,0,95,0,95,0,95,1400000US06001441927,06001441927,"Census Tract 4419.27, Alameda County, California"
3269,239,3082,251,687,169,0,95,0,95,2277,308,0,95,0,95,118,96,14,21,104,87,187,110,91,80,0,95,0,95,11,17,0,95,32,30,53,51,0,95,53,51,1400000US06001442000,06001442000,"Census Tract 4420, Alameda County, California"
5131,361,5094,358,821,148,9,14,0,95,4176,358,0,95,11,18,77,56,0,95,77,56,37,40,37,40,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001442100,06001442100,"Census Tract 4421, Alameda County, California"
6471,530,6125,524,1913,259,22,31,0,95,3977,462,0,95,0,95,213,192,0,95,213,192,346,184,105,95,0,95,0,95,0,95,0,95,241,198,0,95,0,95,0,95,1400000US06001442200,06001442200,"Census Tract 4422, Alameda County, California"
4412,515,3282,352,1198,219,57,49,51,61,1794,367,0,95,0,95,182,153,0,95,182,153,1130,508,498,254,0,95,0,95,0,95,0,95,576,448,56,63,17,22,39,61,1400000US06001442301,06001442301,"Census Tract 4423.01, Alameda County, California"
4946,546,3933,464,1197,382,161,180,0,95,2353,553,0,95,0,95,222,151,93,131,129,82,1013,612,409,353,0,95,45,52,0,95,0,95,559,513,0,95,0,95,0,95,1400000US06001442302,06001442302,"Census Tract 4423.02, Alameda County, California"
7188,843,4130,567,1812,392,162,113,12,20,1922,522,14,26,0,95,208,117,26,43,182,111,3058,985,1095,456,0,95,34,33,0,95,0,95,1736,907,193,198,118,147,75,63,1400000US06001442400,06001442400,"Census Tract 4424, Alameda County, California"
7097,674,5233,548,2192,392,334,350,0,95,2550,426,63,98,12,22,82,88,0,95,82,88,1864,472,864,379,0,95,0,95,0,95,0,95,954,513,46,73,46,73,0,95,1400000US06001442500,06001442500,"Census Tract 4425, Alameda County, California"
3594,323,3056,350,1799,277,124,113,0,95,973,284,0,95,0,95,160,109,0,95,160,109,538,228,68,59,0,95,9,16,0,95,0,95,238,185,223,208,223,208,0,95,1400000US06001442601,06001442601,"Census Tract 4426.01, Alameda County, California"
4949,638,4093,621,1960,529,41,70,0,95,1966,619,7,19,0,95,119,100,0,95,119,100,856,412,387,213,0,95,0,95,0,95,0,95,384,351,85,92,25,44,60,83,1400000US06001442602,06001442602,"Census Tract 4426.02, Alameda County, California"
2833,275,2436,203,1607,171,13,15,0,95,686,159,25,33,0,95,105,84,0,95,105,84,397,198,186,180,0,95,68,83,0,95,0,95,115,68,28,39,28,39,0,95,1400000US06001442700,06001442700,"Census Tract 4427, Alameda County, California"
2802,296,1969,303,992,216,74,78,0,95,892,213,0,95,0,95,11,21,0,95,11,21,833,305,270,260,0,95,0,95,0,95,0,95,306,221,257,210,83,97,174,171,1400000US06001442800,06001442800,"Census Tract 4428, Alameda County, California"
7173,646,5547,507,2356,450,279,238,69,77,2258,476,44,77,0,95,541,324,0,95,541,324,1626,475,728,328,0,95,0,95,0,95,0,95,842,465,56,74,13,22,43,54,1400000US06001442900,06001442900,"Census Tract 4429, Alameda County, California"
3438,359,2200,296,1028,285,154,209,0,95,881,186,0,95,0,95,137,100,30,44,107,93,1238,231,712,393,37,51,0,95,14,23,8,13,434,240,33,38,19,30,14,22,1400000US06001443001,06001443001,"Census Tract 4430.01, Alameda County, California"
5525,414,3981,341,1685,368,101,66,12,22,1944,329,0,95,38,67,201,192,92,139,109,75,1544,378,509,264,0,95,32,57,0,95,0,95,866,301,137,226,137,226,0,95,1400000US06001443002,06001443002,"Census Tract 4430.02, Alameda County, California"
5389,326,4988,308,1168,237,71,61,0,95,3591,287,0,95,28,34,130,89,0,95,130,89,401,114,54,61,0,95,48,93,3,15,0,95,262,179,34,52,34,52,0,95,1400000US06001443102,06001443102,"Census Tract 4431.02, Alameda County, California"
3951,293,3934,292,614,191,0,95,0,95,3159,324,0,95,0,95,161,178,124,164,37,37,17,28,10,16,0,95,0,95,0,95,0,95,0,95,7,12,0,95,7,12,1400000US06001443103,06001443103,"Census Tract 4431.03, Alameda County, California"
5604,471,5198,455,1194,265,4,10,0,95,3855,458,0,95,0,95,145,145,0,95,145,145,406,181,298,150,0,95,6,15,36,44,0,95,38,45,28,37,0,95,28,37,1400000US06001443104,06001443104,"Census Tract 4431.04, Alameda County, California"
4984,399,4984,399,710,183,95,109,19,29,3900,449,16,23,16,25,228,227,0,95,228,227,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001443105,06001443105,"Census Tract 4431.05, Alameda County, California"
3817,345,3801,344,941,126,43,65,0,95,2493,373,27,41,49,70,248,127,0,95,248,127,16,25,0,95,0,95,0,95,0,95,0,95,16,25,0,95,0,95,0,95,1400000US06001443200,06001443200,"Census Tract 4432, Alameda County, California"
4044,303,3838,283,1172,189,91,122,0,95,2318,205,88,129,8,13,161,114,0,95,161,114,206,99,164,100,0,95,0,95,0,95,0,95,42,56,0,95,0,95,0,95,1400000US06001443301,06001443301,"Census Tract 4433.01, Alameda County, California"
3406,304,3268,338,755,283,171,240,0,95,2269,301,0,95,0,95,73,70,39,61,34,36,138,121,112,117,0,95,0,95,0,95,0,95,12,21,14,23,0,95,14,23,1400000US06001443321,06001443321,"Census Tract 4433.21, Alameda County, California"
3105,302,2931,354,950,153,220,179,0,95,1675,304,21,33,13,22,52,72,0,95,52,72,174,170,40,47,0,95,0,95,0,95,0,95,24,51,110,155,110,155,0,95,1400000US06001443322,06001443322,"Census Tract 4433.22, Alameda County, California"
7166,545,5625,484,3043,354,174,166,0,95,1640,459,508,500,58,66,202,149,0,95,202,149,1541,493,724,370,0,95,0,95,18,29,0,95,721,358,78,103,78,103,0,95,1400000US06001444100,06001444100,"Census Tract 4441, Alameda County, California"
6285,598,4011,385,1934,281,274,144,0,95,1426,367,255,223,0,95,122,92,0,95,122,92,2274,514,854,371,29,52,0,95,39,64,0,95,981,520,371,349,238,215,133,158,1400000US06001444200,06001444200,"Census Tract 4442, Alameda County, California"
3880,361,2479,373,1170,318,73,87,21,28,1007,233,0,95,42,59,166,120,28,40,138,114,1401,417,322,229,0,95,0,95,0,95,0,95,870,446,209,221,187,216,22,26,1400000US06001444301,06001444301,"Census Tract 4443.01, Alameda County, California"
4835,618,2528,575,662,269,493,374,0,95,1078,452,129,203,0,95,166,110,31,50,135,100,2307,696,984,524,31,48,105,109,0,95,0,95,880,513,307,252,295,251,12,19,1400000US06001444302,06001444302,"Census Tract 4443.02, Alameda County, California"
4906,427,2357,363,1466,334,109,98,0,95,626,179,0,95,0,95,156,135,0,95,156,135,2549,321,727,304,0,95,97,151,50,74,0,95,1405,450,270,162,214,147,56,64,1400000US06001444400,06001444400,"Census Tract 4444, Alameda County, California"
6432,605,3637,462,1323,323,177,191,0,95,2011,384,4,8,0,95,122,85,0,95,122,85,2795,502,1208,599,0,95,0,95,15,22,0,95,1521,553,51,43,51,43,0,95,1400000US06001444500,06001444500,"Census Tract 4445, Alameda County, California"
4824,327,3472,440,1595,405,320,382,0,95,1282,265,150,191,28,47,97,93,26,44,71,81,1352,378,607,317,0,95,0,95,0,95,0,95,731,477,14,24,14,24,0,95,1400000US06001444601,06001444601,"Census Tract 4446.01, Alameda County, California"
3994,322,3299,316,1052,244,120,99,0,95,1881,373,0,95,75,119,171,159,9,17,162,158,695,172,167,125,0,95,0,95,0,95,0,95,420,151,108,105,93,100,15,49,1400000US06001444602,06001444602,"Census Tract 4446.02, Alameda County, California"
3872,269,3472,315,1629,434,275,198,11,19,1400,340,0,95,8,13,149,106,13,23,136,105,400,175,267,132,0,95,0,95,0,95,0,95,87,86,46,76,46,76,0,95,1400000US06001450101,06001450101,"Census Tract 4501.01, Alameda County, California"
8538,456,6310,294,2606,301,1762,158,126,46,1505,253,42,36,0,95,269,91,30,34,239,84,2228,422,843,203,103,69,24,26,0,95,0,95,1110,468,148,79,92,65,56,37,1400000US06001450102,06001450102,"Census Tract 4501.02, Alameda County, California"
4369,403,3873,422,2601,394,91,79,0,95,983,346,0,95,0,95,198,133,0,95,198,133,496,212,396,212,0,95,0,95,0,95,0,95,22,39,78,56,54,47,24,29,1400000US06001450200,06001450200,"Census Tract 4502, Alameda County, California"
4207,258,3620,293,2601,222,97,81,0,95,818,221,0,95,10,17,94,67,0,95,94,67,587,233,327,201,39,61,0,95,0,95,0,95,159,131,62,63,55,62,7,11,1400000US06001450300,06001450300,"Census Tract 4503, Alameda County, California"
5941,371,5122,448,3880,344,25,34,0,95,1117,395,0,95,0,95,100,76,10,17,90,74,819,341,562,261,0,95,0,95,10,17,0,95,146,136,101,105,27,30,74,87,1400000US06001450400,06001450400,"Census Tract 4504, Alameda County, California"
3187,269,2830,293,2311,310,92,145,0,95,370,200,0,95,0,95,57,93,0,95,57,93,357,241,196,180,0,95,0,95,127,174,0,95,34,58,0,95,0,95,0,95,1400000US06001450501,06001450501,"Census Tract 4505.01, Alameda County, California"
4823,602,4562,616,2917,437,120,134,0,95,1336,882,0,95,0,95,189,154,0,95,189,154,261,168,122,75,0,95,0,95,0,95,0,95,139,169,0,95,0,95,0,95,1400000US06001450502,06001450502,"Census Tract 4505.02, Alameda County, California"
3008,223,2812,253,2134,254,49,74,0,95,555,104,0,95,9,15,65,50,5,8,60,48,196,150,156,126,0,95,0,95,0,95,0,95,40,38,0,95,0,95,0,95,1400000US06001450601,06001450601,"Census Tract 4506.01, Alameda County, California"
8602,377,7639,420,5023,404,355,164,9,14,1696,495,0,95,236,217,320,154,0,95,320,154,963,302,717,301,0,95,0,95,0,95,0,95,179,139,67,66,30,32,37,59,1400000US06001450602,06001450602,"Census Tract 4506.02, Alameda County, California"
4701,264,4018,302,3002,298,1,4,9,16,903,195,0,95,30,34,73,54,0,95,73,54,683,233,570,223,0,95,0,95,7,11,0,95,13,19,93,110,70,105,23,31,1400000US06001450603,06001450603,"Census Tract 4506.03, Alameda County, California"
